role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Community Management,Guruji Astro,Actively hiring,Jaipur,6 Months," 8,000-10,000 ","Community Building, Communication, Public Relations"
Business Development (Sales),HomCrafts,Actively hiring,Bangalore,6 Months,"20,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),GCV Life,Actively hiring,Mumbai,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Corporate Sales,Zedex Info Private Limited,Actively hiring,Mumbai,3 Months,"12,000","Sales, Negotiation, CRM"
Business Development (Sales),Qriocity Ventures Private Limited,Actively hiring,"Kattankulathur, Maraimalai Nagar, Chengalpattu",3 Months," 15,000-20,000 ","Sales, Negotiation, Business Strategy"
Business Development (Sales),Dolphin Ad World Private Limited,Actively hiring,Mumbai,3 Months,"10,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),Catalyst Crew,Actively hiring,Mumbai,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Marketing,Innovitoy Private Limited,Actively hiring,Ahmedabad,3 Months,"8,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Stayin Bangalore,Actively hiring,Bangalore,3 Months," 10,000  +  Incentives","Sales, Negotiation, Business Strategy"
Business Development (Sales),Digifronix,Actively hiring,Bangalore,3 Months," 10,000-12,000 ","Sales, Negotiation, Business Strategy"
Community Management,Indica,Actively hiring,"Delhi, Gurgaon",3 Months,"10,000","Community Building, Communication, Public Relations"
Business Development (Sales),Creware Technologies Private Limited,Actively hiring,Jaipur,6 Months,"7,500","Sales, Negotiation, Business Strategy"
Marketing,AI4SEE PRIVATE LIMITED,Actively hiring,Bangalore,3 Months," 10,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Marketing,AIR HR Solutions,Actively hiring,Mumbai,4 Months,"10,000","Marketing Strategy, Communication, Market Research"
Inside Sales,Lucenta Solutions,Actively hiring,Jaipur,3 Months," 10,000  +  Incentives","Sales, Negotiation, CRM"
Operations,ERIC Robotics PSIPL,Actively hiring,Pune,6 Months,"8,000","Operations Management, Coordination, MS Excel"
Business Development (Sales),Make In Brand (PWI),Actively hiring,"Thane, Navi Mumbai, Mumbai, Vashi",6 Months," 3,000  +  Incentives","Sales, Negotiation, Business Strategy"
General Management,Hamari Pahchan NGO,Actively hiring,"Delhi, South",3 Months," 2,000-5,000 ","Communication, Teamwork"
Business Development (Sales),Clear Space Realty,Actively hiring,Pune,3 Months," 15,000  +  Incentives","Sales, Negotiation, Business Strategy"
Business Development (Sales),Trigr,Actively hiring,Work from home,6 Months,"7,000","Sales, Negotiation, Business Strategy"
Marketing,Business Leadership League,Actively hiring,"Navi Mumbai, Vashi",3 Months," 8,000-10,000 ","Marketing Strategy, Communication, Market Research"
Generative AI,Aistral,Not hiring,Work from home,6 Months,"12,000","Communication, Teamwork"
Logo Design,Divya Goel,Not hiring,Work from home,1 Week," 2,500 /week","Graphic Design, Photoshop, Illustrator"
Reactjs Development,Tinos Software & Security Solutions LLP,Not hiring,"Kochi, Ernakulam",3 Months,"8,000","React,javaScript,Express"
Full Stack Development,Kinmanyaa Life Private Limited (Manyaa),Not hiring,Work from home,3 Months,"1,000","React,Node,Express,Next,SQL"
Node.js Development,Relinns Technologies,Actively hiring,Mohali,6 Months,"10,000","node,express,mongoDB"
Social Media Marketing,WeJoy Phonfix Private Limited,Not hiring,Patna,2 Months,"5,000","Marketing Strategy, Communication, Market Research"
Artificial Intelligence (AI),Beadcore Infotech Private Limited,Not hiring,Work from home,2 Months," 10,000-15,000 ","Communication, Teamwork"
WordPress Development,Miracuves Solutions Private Limited,Not hiring,Work from home,6 Months,"5,000","Communication, Teamwork"
Junior Video Editor,Ankita Malik Arora,Not hiring,"Delhi, North West",3 Months," 6,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Human Resources (HR),Kvell Consulting,Not hiring,Gurgaon,6 Months,"15,000","Recruitment, HR Management, Communication"
Brand Management,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,"Chennai, Bangalore                                                            (Hybrid)",1 Month," 5,000  +  Incentives","Marketing Strategy, Branding, Communication"
Business Strategy,ESQUBE,Not hiring,Delhi,3 Months," 2,000-10,000 ","Sales, Negotiation, Business Strategy"
Shopify Management,Amaan Mukati,Not hiring,Work from home,2 Months," 5,000-10,000 ","Communication, Teamwork"
Android App Development,Premier Electrosystems,Not hiring,Work from home,1 Month,"2,000","App Development, Flutter, React Native"
Music,Thouzen,Not hiring,Delhi,2 Months,"2,000","Communication, Teamwork"
Digital Marketing,Property Discuss,Not hiring,Work from home,2 Months,"8,000","SEO, Google Ads, Social Media Marketing"
Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,Chennai                                                            (Hybrid),1 Month," 1,000 /week +  Incentives","Marketing Strategy, Communication, Market Research"
Influencer Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,"Chennai, Bangalore                                                            (Hybrid)",1 Month," 1,000 /week +  Incentives","Marketing Strategy, Communication, Market Research"
WordPress Designer,199 Staff,Not hiring,Work from home,6 Months,"8,000","Graphic Design, Photoshop, Illustrator"
WordPress Development,Pivot Designs,Not hiring,Work from home,6 Months,"7,000","Communication, Teamwork"
Law/Legal,Legal Education Awareness Foundation,Not hiring,Work from home,1 Month," 2,500  +  Incentives","Communication, Teamwork"
Accounts,Rentkar-Switch To Share,Actively hiring,Mumbai,3 Months," 12,000-16,000 ","Communication, Teamwork"
Human Resources (HR),Metadome,Not hiring,Gurgaon,3 Months,"15,000","Recruitment, HR Management, Communication"
Graphic Design,HoloKitab Technologies,Not hiring,Work from home,1 Month," 8,000-10,000 ","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),Rentkar-Switch To Share,Actively hiring,Mumbai,6 Months,"12,000","Sales, Negotiation, Business Strategy"
Human Resources (HR),Codecraft IT Solutions,Actively hiring,Work from home,6 Months," 5,000-8,000 ","Recruitment, HR Management, Communication"
HR,Codecraft IT Solutions,Actively hiring,Work from home,6 Months," 5,000-8,000 ","Recruitment, HR Management, Communication"
Business Development (Sales),DG Creation,Not hiring,Work from home,3 Months,"1,000","Sales, Negotiation, Business Strategy"
Digital Marketing,NK Verma,Not hiring,Work from home,1 Month,"1,000","SEO, Google Ads, Social Media Marketing"
Social Media Marketing,Preeti  Khare,Not hiring,Work from home,6 Months,"5,000","Marketing Strategy, Communication, Market Research"
Volunteering,Kshitiksha Foundation,Actively hiring,Work from home,1 Month,Unpaid,"Communication, Teamwork"
"Physiotherapy, Anti-Aging, Weight-loss, Aerobics",Physio Slim Fit Wellness Center,Not hiring,Gurgaon,1 Month,"5,500","Communication, Teamwork"
Field Sales,Bathline India Private Limited,Not hiring,Delhi                                                            (Hybrid),6 Months,"13,000","Sales, Negotiation, CRM"
Python Development,ORIM Advisors,Not hiring,Mumbai                                                            (Hybrid),2 Months," 10,000-30,000 ","Python,Django,SQL"
"Medical Science, Pathology, Radiology, Pharmacology - Content Writing",Earth5R,Actively hiring,Work from home,1 Month,Unpaid,"Content Writing, Editing, SEO"
Personal Assistant Internship,Wehire Talent Solutions,Actively hiring,Mumbai,3 Months,"5,000","Coordination, Communication, MS Office"
Sales And Outreach (WFH: Vet-Med Industry),Qualitymind Private Limited,Not hiring,Work from home,6 Months," 1,000-10,000 ","Sales, Negotiation, CRM"
Marketing,Dr Mickey,Not hiring,Mumbai                                                            (Hybrid),3 Months," 8,000-15,000 ","Marketing Strategy, Communication, Market Research"
Content Writing,Emptor Edge Private Limited,Not hiring,Delhi,6 Months,"7,500","Content Writing, Editing, SEO"
"Human Resources, Recruitment And Training - Content Writing",Earth5R,Actively hiring,Work from home,1 Month,Unpaid,"Content Writing, Editing, SEO"
Artificial Intelligence And Machine Learning - Content Writing,Earth5R,Actively hiring,Work from home,1 Month,Unpaid,"Python, Neural Networks,R"
Content Localization,Cynapto Technologies Private Limited,Not hiring,Work from home,6 Months," 5,000-10,000 ","Content Writing, Editing, SEO"
Full Stack Development,Brihat Infotech Private Limited,Actively hiring,Work from home,3 Months,"5,000","React,Node,Express,Next,SQL"
Video Editing/Making,LetsArc Media,Not hiring,Work from home,2 Months," 2,000-4,000 ","Video Editing, Premiere Pro, After Effects"
Chartered Accountancy (CA),Shishir Gupta And Company,Not hiring,Dehradun,12 Months,"8,000","Communication, Teamwork"
Marketing,Talent Corner HR Services,Not hiring,Work from home,2 Months," 5,000 lump sum","Marketing Strategy, Communication, Market Research"
Digital Marketing,Sandbox Rigs,Not hiring,Work from home,3 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Store Experience,Manny's,Not hiring,Chandigarh,6 Months," 8,000-10,000 ","Communication, Teamwork"
Web Development,Mercury Design,Not hiring,Jaipur,6 Months," 7,000-10,000 "," HTML,css,react,node,mongoDB"
JavaScript Development,COSMICSTAYS,Not hiring,Pune,3 Months,"10,000","JavaScript,React,Node,MongoDB"
Sales Consultant,Wonderkids.club,Not hiring,Work from home,1 Month," 5,000  +  Incentives","Sales, Negotiation, CRM"
Web Developer Specialising In JS And GSAP,Vestaso,Not hiring,Work from home,3 Months," 8,000-15,000 ","HTML,css,react,node,mongoDB"
Digital Marketing,Questdoor Private Limited,Not hiring,Work from home,3 Months,"8,000","SEO, Google Ads, Social Media Marketing"
Psychology,Knowledge Bridge Consulting Incorporated,Not hiring,"Anantapur, Puttaparthi, Vijayawada",3 Months," 4,000-8,000 ","Communication, Teamwork"
Growth Marketing,Foundit India (formerly Monster APAC & ME),Not hiring,Bangalore,3 Months,"15,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Orbit Communications,Not hiring,"Vadodara, Mumbai",2 Months," 10,000-15,000 ","Sales, Negotiation, Business Strategy"
Supply Chain Management (SCM),Wakefit Innovations Private Limited,Not hiring,Bangalore,3 Months,"15,000","Communication, Teamwork"
Video Editing/Making,CeDISI Partners LLP,Not hiring,Delhi,2 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Human Resources (HR),Digital Academy 360,Not hiring,Bangalore,3 Months,"10,000","Recruitment, HR Management, Communication"
Lead Generation,Mradula Shet,Not hiring,Work from home,2 Months," 2,000  +  Incentives","Communication, Teamwork"
Flutter Development,CraftMyPlate,Not hiring,Work from home,6 Months,"5,000","Communication, Teamwork"
Human Resources (HR),Rubal Bamniya,Not hiring,Noida,6 Months,"12,000","Recruitment, HR Management, Communication"
Video Editing/Making,Swati Awasthi,Not hiring,Work from home,6 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),Simplifin,Not hiring,Work from home,3 Months," 3,000  +  Incentives","Sales, Negotiation, Business Strategy"
Digital Marketing,EnhanceRank,Not hiring,Delhi,6 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Human Resources (HR),Impact Analytics,Not hiring,Bangalore,6 Months,"20,000","Recruitment, HR Management, Communication"
Business Research,Sajan Shah,Not hiring,Ahmedabad,5 Months,"7,000","Sales, Negotiation, Business Strategy"
Quality Control,Healthline Private Limited Company,Not hiring,Bangalore,3 Months,"2,000","Communication, Teamwork"
International Business Development,The Diamond Port,Not hiring,Surat,6 Months," 10,000-15,000 ","Sales, Negotiation, Business Strategy"
Graphic Design,Furitek Media LLP,Not hiring,Work from home,1 Month,"10,000","Graphic Design, Photoshop, Illustrator"
AI,ProSapiens HR,Not hiring,Hyderabad                                                            (Hybrid),6 Months," 10,000-20,000 ","Communication, Teamwork"
Business Development (Sales),SugarStrings.ai,Not hiring,Bangalore,6 Months,"15,000","Sales, Negotiation, Business Strategy"
Service Engineer,Smartline E Commerce P Ltd,Not hiring,"Kolkata, Siliguri, Midnapore",6 Months," 7,000-12,000 ","Communication, Teamwork"
Business Development (Sales),Sploot Private Limited,Not hiring,Gurgaon,6 Months,"10,000","Sales, Negotiation, Business Strategy"
Marketing And Sales,Insighte,Not hiring,Bangalore                                                            (Hybrid),6 Months," 6,000  +  Incentives","Sales, Negotiation, CRM"
Software Development,Renambl Technologies,Not hiring,Chennai,3 Months,"5,000","Communication, Teamwork"
Social Media Marketing,Physiques By Vinay,Not hiring,Work from home,3 Months," 3,000-7,500 ","Marketing Strategy, Communication, Market Research"
HR Consultant,FUTUREROLE INC,Not hiring,Bangalore,1 Month,"5,000","Consulting, Analysis, Presentation"
Social Media Marketing,Wilde Pattern Company,Not hiring,Mumbai,3 Months,"6,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Alchemy Capital Management Pvt Ltd,Not hiring,Mumbai,3 Months,"10,000","Sales, Negotiation, Business Strategy"
Graphic Design,Shunya Fodder & Forage Agritech Private Limited,Not hiring,"Delhi, Gurgaon",5 Months," 10,000-12,000 ","Graphic Design, Photoshop, Illustrator"
Graphic Design,Mahendhar Reddy,Not hiring,Work from home,3 Months,"12,000","Graphic Design, Photoshop, Illustrator"
Next.js + AWS Developer,Thinq 7,Not hiring,Work from home,1 Month,"5,000","Next,React,Node,AWS"
Hardware Assistance,TECH TRADE SOLUTIONS,Not hiring,Pimpri-Chinchwad,6 Months,"8,000","Communication, Teamwork"
Software Development,Mind Prabha Techonologies Private Limited,Not hiring,Pune,6 Months,"2,000","Communication, Teamwork"
Graphic Design,Skyy Rider Electric Private Limited,Not hiring,"Bhubaneswar, Cuttack, Puri, Khordha",3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Social Media Marketing,Flashmind Digital,Not hiring,Mumbai                                                            (Hybrid),3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Video Editing/Making,Social Refuel Private Limited,Not hiring,Mumbai,6 Months," 7,000-12,000 ","Video Editing, Premiere Pro, After Effects"
Recruitment Consultant,The Intect,Not hiring,Noida,6 Months,"5,000","Consulting, Analysis, Presentation"
Search Engine Optimization (SEO),PolicyBazaar.com,Not hiring,Gurgaon,6 Months,"15,000","SEO, Google Analytics, Keyword Research"
LinkedIn Account Management,Vijay Yadav,Not hiring,Work from home,1 Month,"4,000","Communication, Teamwork"
Human Resources (HR),Asian Institute of Gastroenterology Private Limited,Not hiring,Hyderabad,6 Months," 10,000-12,000 ","Recruitment, HR Management, Communication"
Executive Assistant,Journeyteaches,Not hiring,Work from home,1 Month,"1,000","Coordination, Communication, MS Office"
Digital Marketing,Click2Commission,Not hiring,Noida,3 Months,"15,000","SEO, Google Ads, Social Media Marketing"
Digital Marketing Tranee,SassyBranding,Not hiring,Work from home,3 Months,"3,000","SEO, Google Ads, Social Media Marketing"
Business Development (Sales),Junior Robo Innovations,Not hiring,Work from home,2 Months,"7,000","Sales, Negotiation, Business Strategy"
Trainee Research Associate,Talent Carriage,Not hiring,Work from home,3 Months," 4,000-10,000 ","Research, Analysis, Report Writing"
Sales Development Representative,Giift Plus India Private Limited,Not hiring,Bangalore                                                            (Hybrid),6 Months,"20,000","Sales, Negotiation, CRM"
Business Research,Invergence Analytics Pvt Ltd,Not hiring,Work from home,3 Months,"10,000","Sales, Negotiation, Business Strategy"
CS Articleship,CORPVIDHYA INSIGHT ADVISORS LLP,Not hiring,Delhi,6 Months," 5,000-7,000 ","Communication, Teamwork"
Business Development (Sales),SOM GROUP,Not hiring,Indore,6 Months," 12,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Media Marketing,SONU VIKABH,Not hiring,Mumbai                                                            (Hybrid),3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Email Marketing,GEMA Education Technology Private Limited,Actively hiring,Work from home,1 Month,"1,000","Marketing Strategy, Communication, Market Research"
Virtual Assistant,Achyut Karol,Not hiring,Work from home,2 Months,"2,000","Coordination, Communication, MS Office"
Marketing,Bharat Earn Technology Pvt. Ltd.,Not hiring,Bangalore,3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Content Writing,Kafirana Blogs,Not hiring,Work from home,6 Months,"5,000","Content Writing, Editing, SEO"
Graphic Design,Education Gloable Et Developpement,Not hiring,Work from home,3 Months,Unpaid,"Graphic Design, Photoshop, Illustrator"
Field Sales,Oqulix Pvt Ltd,Not hiring,Work from home,4 Months," 5,000  +  Incentives","Sales, Negotiation, CRM"
Flutter Development,Intelligentia Labs Private Limited,Not hiring,Work from home,1 Month,"20,000","Communication, Teamwork"
Graphic Design,Kaushal Sharma,Not hiring,Work from home,2 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Python/Blockchain Development,Synergic Byte,Not hiring,Work from home,5 Months," 3,000-5,000 ","Python,Django,SQL,Blockchain"
Content Creator/ Video Editor,Chuki,Not hiring,Work from home,6 Months,"16,000","Video Editing, Premiere Pro, After Effects"
Product Management,Virtual Team,Not hiring,Work from home,1 Month,"1,000","Communication, Teamwork"
Social Media Marketing,Mansi Tomar,Not hiring,Work from home,1 Month," 2,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Sales Consultant,KRP Micro Finance,Not hiring,"Delhi, Noida",3 Months,"10,000","Sales, Negotiation, CRM"
Business Development (Sales),Baselit.ai,Not hiring,Work from home,1 Month,"7,000","Sales, Negotiation, Business Strategy"
Online Marketing,Modaro Health,Not hiring,Work from home,3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Reactjs Development,JB CORPORATION,Not hiring,Jaipur,6 Months," 6,000-12,000 ","React,javaScript,Express"
Business Development Executive,Moon Technolabs Private Limited,Not hiring,Ahmedabad,6 Months,"7,000","Sales, Negotiation, Business Strategy"
Social Media Marketing,Hashtag Affairs,Not hiring,Delhi                                                            (Hybrid),1 Month," 5,000-10,000 ","Marketing Strategy, Communication, Market Research"
Law/Legal,Lawkavach,Not hiring,Bangalore                                                            (Hybrid),1 Month,Unpaid,"Communication, Teamwork"
Brand Management,NoBroker Technologies Solutions Private Limited,Not hiring,Bangalore,2 Months,"12,000","Marketing Strategy, Branding, Communication"
Business Development (Sales),Velocis Systems Private Limited,Not hiring,Bangalore,2 Months," 10,000-20,000 ","Sales, Negotiation, Business Strategy"
Entrepreneur Projects,DigiDarts Marketing Private Limited,Not hiring,"Faridabad, Delhi, Gurgaon, Noida",4 Months,"6,000","Leadership, Innovation, Social Impact"
Video Editing/Making,Sameer Khatri,Not hiring,Work from home,6 Months,"5,000","Video Editing, Premiere Pro, After Effects"
Human Resources (HR),Traxive By Piyush Sharma,Not hiring,Work from home,3 Months," 1,000-5,000 ","Recruitment, HR Management, Communication"
Finance,Infrastructure Development Corporation (Karnataka) Limited,Not hiring,Bangalore,6 Months,"10,000","Excel, Financial Analysis, Accounting"
Game Development,Pixamentory Online Services,Not hiring,Work from home,3 Months,"10,000","C,unity,maya"
Operations,I Deserve Life Systems LLP,Not hiring,Kolkata,6 Months,"12,000","Operations Management, Coordination, MS Excel"
Data Analytics,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Python, SQL, Data Analysis"
Business Analytics,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Sales, Negotiation, Business Strategy"
Content Writing (Personal Branding Specialist),Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,4 Months,"10,000","Marketing Strategy, Branding, Communication"
Content & E-Commerce Management,NYRA,Not hiring,Kanpur,2 Months," 3,000-6,000 ","Content Writing, Editing, SEO"
Social Media Marketing,Frihbi Enterprises Private Limited,Not hiring,Work from home,3 Months,"3,000","Marketing Strategy, Communication, Market Research"
Author Outreach & Data Entry,Gamahouse Publishing,Actively hiring,Work from home,6 Months,"1,000","Excel,python,SQL,marketing,sales"
Human Resources (HR),Techiegigs,Not hiring,Navi Mumbai,3 Months,"5,000","Recruitment, HR Management, Communication"
Human Resources (HR),CollegeTips Ed Tech Media Private Limited,Not hiring,Bhopal,1 Month," 2,000-10,000 ","Recruitment, HR Management, Communication"
AWS DevOps Engineer,Triluxo Technologies Private Limited,Actively hiring,Work from home,6 Months," 1,000-3,000 ","AWS,terraform,python"
Content Writing,Thick Accent Football,Not hiring,Work from home,2 Months,"7,000","Content Writing, Editing, SEO"
Content Writing,Aza Fashions,Not hiring,Mumbai,3 Months,"15,000","Content Writing, Editing, SEO"
Database Building/Management,Request IT Support,Actively hiring,Work from home,6 Months,"15,000","Python, SQL, Data Analysis"
Travel Consultant,Fly Divine Travels,Not hiring,Faridabad,6 Months," 9,000-14,000 ","Consulting, Analysis, Presentation"
AWS Cloud Management,Request IT Support,Actively hiring,Work from home,6 Months,"16,000","AWS,terraform,python"
Human Resources (HR),Recruitwire Services,Not hiring,Work from home,3 Months,"3,000","Recruitment, HR Management, Communication"
Product Testing,Request IT Support,Actively hiring,Work from home,6 Months,"18,000","Zephyr,Jira"
Mobile App Development,Accurate Gems Private Limited,Not hiring,Work from home,6 Months," 3,000-5,000 ","Android, Kotlin, Java"
Content Writing,Classplus (Bunch Microtechnologies Private Limited),Not hiring,Noida,6 Months,"15,000","Content Writing, Editing, SEO"
Content Writing,Appjunction,Not hiring,Work from home,2 Months,"5,000","Content Writing, Editing, SEO"
Digital Marketing,Make Indias,Not hiring,Varanasi,3 Months," 2,000-5,000 ","SEO, Google Ads, Social Media Marketing"
Digital Marketing,Weboin Technologies Private Limited,Not hiring,Chennai,3 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Business Development (Sales),Wayspire Edtech Private Limited,Actively hiring,Gurgaon,6 Months," 15,000-18,000 ","Sales, Negotiation, Business Strategy"
Event Management,TEAMCORE EVENTS,Not hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida, North, West, Manesar, South, South East",1 Month," 10,000-15,000 ","Communication, Teamwork"
Chartered Accountancy (CA),Swadhin Chhajed,Not hiring,Bangalore,24 Months," 5,000-30,000 ","Communication, Teamwork"
Social Media Marketing,Digisteps,Not hiring,Delhi,6 Months,"6,000","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Teevro,Not hiring,Work from home,2 Months," 2,000-5,000 ","Marketing Strategy, Communication, Market Research"
Graphic Design,Cityflo,Not hiring,"Thane, Mumbai",3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Customer Service/Customer Support,Clapingo Education,Actively hiring,Work from home,3 Months,"5,000","Communication, Teamwork"
Telecalling,Coding Junior,Actively hiring,Work from home,1 Month,"2,000","Communication, Sales, Customer Handling"
Marketing,Coding Junior,Actively hiring,Work from home,6 Months,"10,000","Marketing Strategy, Communication, Market Research"
Social Media Marketing,Hire4ITES,Not hiring,Jaipur,3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Human Resources (HR),Coding Junior,Actively hiring,Work from home,3 Months,"2,000","Recruitment, HR Management, Communication"
Field Enumerator (Baseline Study For An Agricultural Program),SocioLadder,Not hiring,"Anantapur, Guntur, Mahabubabad, Warangal, Nalgonda, Mulugu, East Godavari, Peddavura",1 Month," 5,000-15,000 ","Communication, Teamwork"
Human Resources (HR),Felix IT Systems,Not hiring,Pune,6 Months,"12,000","Recruitment, HR Management, Communication"
Social Media Marketing,Square Panda,Not hiring,Mumbai,2 Months,"15,000","Marketing Strategy, Communication, Market Research"
UI/UX Design,Across The Globe (ATG),Actively hiring,Work from home,6 Months," 3,000  +  Incentives","Figma, Wireframing, Prototyping"
Human Resources (HR),KIWIQA Services,Not hiring,Ahmedabad,6 Months," 7,000-10,000 ","Recruitment, HR Management, Communication"
Human Resources (HR),Universal Adventures,Actively hiring,Work from home,3 Months,"2,500","Recruitment, HR Management, Communication"
Yoga Teacher,Aayana Yoga Academy,Not hiring,Bangalore,6 Months," 5,000-8,000 ","Teaching, Mentoring, Communication"
Content Writing,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 6,000-8,000 ","Content Writing, Editing, SEO"
Social Media Marketing,Wehire Talent Solutions,Actively hiring,Mumbai,3 Months,"3,000","Marketing Strategy, Communication, Market Research"
Front End Development,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 ","Communication, Teamwork"
Lead Generation,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-15,000 ","Communication, Teamwork"
Business Strategy,Captain $ales,Not hiring,Gurgaon,3 Months,"5,000","Sales, Negotiation, Business Strategy"
Corporate Relations,Wayspire Edtech Private Limited,Actively hiring,Gurgaon,6 Months," 10,000-12,000 ","Communication, Teamwork"
Finance & Accounting,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 ","Accounting, Tally, Excel"
Human Resources (HR),Wehire Talent Solutions,Actively hiring,Mumbai,3 Months,"7,000","Recruitment, HR Management, Communication"
Logistics And Operations,Rydeu Logistics UG,Actively hiring,Work from home,6 Months," 10,000-12,000 ","Operations Management, Coordination, MS Excel"
Tele Sales,Sehej And Ali Technologies,Not hiring,Work from home,3 Months," 2,000  +  Incentives","Sales, Negotiation, CRM"
Search Engine Optimization (SEO),Caption Home,Not hiring,Work from home,3 Months," 5,000-10,000 ","SEO, Google Analytics, Keyword Research"
Interior Design,S  Narang Construct,Not hiring,Delhi,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Company Secretary (CS),"AAS & Associates, Company Secretaries",Not hiring,Mumbai,24 Months," 8,000-12,000 ","Communication, Teamwork"
Company Secretary (CS),PREKSH CORPSERVE LLP,Not hiring,Mumbai,24 Months," 8,000-12,000 ","Communication, Teamwork"
Community Management,Thinnai Experiences,Not hiring,Bangalore                                                            (Hybrid),3 Months,"5,000","Community Building, Communication, Public Relations"
Equity Analyst,Mehta Poly Boards,Not hiring,Mumbai,6 Months," 8,000-10,000 ","Communication, Teamwork"
Telecalling,CK And Sons Textiles,Actively hiring,Work from home,2 Months,"8,000","Communication, Sales, Customer Handling"
Merchandising,GreyToYellow,Not hiring,Gurgaon,3 Months,"5,000","Communication, Teamwork"
Graphic Design,ONE XL INFO LLP,Actively hiring,Pune,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Creative And Innovation,ONE XL INFO LLP,Actively hiring,Pune,3 Months,"5,000","Communication, Teamwork"
Social Media Marketing,Park Plaza Jodhpur,Not hiring,Jodhpur,6 Months," 5,000-6,000 ","Marketing Strategy, Communication, Market Research"
Digital Marketing,Mehta Poly Boards,Not hiring,Mumbai,6 Months," 8,000-10,000 ","SEO, Google Ads, Social Media Marketing"
Motion Graphics,NoBroker Technologies Solutions Private Limited,Not hiring,Bangalore,3 Months,"12,000","Graphic Design, Photoshop, Illustrator"
WordPress Development,Think Digital,Not hiring,Work from home,1 Month," 1,000-2,000 ","Communication, Teamwork"
Architecture,Egosmart Vehicle Private Limited,Not hiring,Work from home,2 Months,"15,000","AutoCAD, Architecture Design, 3D Modeling"
Business Development (Sales),Kratikal Tech Private Limited,Not hiring,Noida,6 Months,"15,000","Sales, Negotiation, Business Strategy"
Search Engine Optimization (SEO),Quantum IT Innovation,Actively hiring,Work from home,6 Months," 8,000-10,000 ","SEO, Google Analytics, Keyword Research"
Deep Learning Engineer,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,6 Months,"15,000","Communication, Teamwork"
SEO Analyst,Quantum IT Innovation,Actively hiring,Work from home,6 Months," 8,000-10,000 ","SEO, Google Analytics, Keyword Research"
Python Development,STOKHOS,Not hiring,Noida,2 Months," 10,000-13,000 ","Communication, Teamwork"
Human Resources (HR),Maionic,Not hiring,Mumbai,2 Months,"10,000","Recruitment, HR Management, Communication"
Social Media Marketing,Physics Wallah,Actively hiring,Work from home,6 Months,"15,000","Marketing Strategy, Communication, Market Research"
Full Stack Development,Pentacle Designing Solutions Pvt. Ltd.,Not hiring,Mumbai,3 Months,"10,000","React,Node,Express,Next,SQL"
Search Engine Optimization (SEO),Sarita Patel,Not hiring,Gurgaon,6 Months,"7,000","SEO, Google Analytics, Keyword Research"
Content Writing,The Byke Hospitality,Not hiring,Mumbai,6 Months," 5,000-10,000 ","Content Writing, Editing, SEO"
CA,Magenta EV Solutions Private Limited,Not hiring,Navi Mumbai,6 Months," 15,000-30,000 ","Communication, Teamwork"
Video Editing/Making,Digital Labour Chowk,Not hiring,Noida,2 Months," 3,000-5,000 ","Video Editing, Premiere Pro, After Effects"
